workload1,workload2,"(LS10, BE90)","(LS20, BE80)","(LS30, BE70)","(LS40, BE60)","(LS50, BE50)","(LS60, BE40)","(LS70, BE30)","(LS80, BE20)","(LS90, BE10)","(LS100, BE100)"
bert-base-cased_batch16-train,mobilenet_v2_1.0_224_batch2-inf,"(None, None)","(None, None)","(12.07286838417592, 65.54433221099887)","(None, None)","(18.383761011106856, 65.09865120945268)","(21.85792349726776, 64.97552291944815)","(24.63054187192118, 66.33348477964562)","(27.36992159657876, 62.16734085586545)","(30.360531309297915, 65.99615775793875)","(None, None)"
bert-base-cased_batch16-train,vit-base-patch16-224_batch8-inf,"(4.053271569195136, 78.43137254901961)","(7.876599934361667, 75.92303692147686)","(11.725047633006008, 72.38024415938526)","(14.75851381765856, 66.65335121408395)","(17.909333996642, 62.87006136290236)","(None, None)","(None, None)","(27.194857210171143, 38.582872243785616)","(30.44704902202109, 22.36755172975095)","(28.973061773106576, 43.274485467108796)"
bert-base-cased_batch16-train,mobilenet_v2_1.0_224_batch8-inf,"(4.113991857724448, 89.50191570881226)","(8.053353466717, 89.426537018605)","(None, None)","(15.450294775360847, 88.16092387817488)","(None, None)","(None, None)","(None, None)","(None, None)","(31.093208960497492, 78.01489496710415)","(32.17251930642576, 64.16348504408494)"
bert-base-cased_batch16-train,wav2vec2-base-960h_batch16-inf,"(None, None)","(None, None)","(None, None)","(15.077511148863879, 112.36261488531922)","(None, None)","(21.6163727135514, 92.95819137654837)","(24.212838662435928, 86.14200886509994)","(27.199484369964548, 69.870180526231)","(30.437230820739927, 43.986078192727355)","(None, None)"
bert-base-cased_batch16-train,wav2vec2-base-960h_batch8-inf,"(4.0790312300828555, 59.68333067752169)","(7.959560298483511, 58.266157544901716)","(11.909453128420685, 60.05393192915968)","(None, None)","(18.385254654347925, 50.3279870026752)","(None, None)","(None, None)","(None, None)","(30.531734378481524, 24.912925696594428)","(28.17440569612985, 58.18140736870348)"
bert-base-cased_batch16-train,bert-base-cased_batch2-inf,"(None, None)","(7.262823422605538, 71.82388390111917)","(None, None)","(15.444015444015443, 53.81496498341319)","(None, None)","(None, None)","(None, None)","(None, None)","(30.460131563291462, 9.69986878602156)","(27.50178174653083, 20.99737532808399)"
bert-base-cased_batch8-train,whisper-large-v2_batch16-inf,"(3.78823548403587, 23.382055407525957)","(None, None)","(10.978688567257482, 21.26819346829)","(14.073366280872499, 18.889724356740697)","(16.755444545323478, 17.374802319451767)","(None, None)","(22.30725326278996, 12.010453759024239)","(24.977225356882233, 8.306979173072483)","(28.16730067495372, 4.64622964666664)","(21.757994120161115, 16.508162925951673)"
bert-base-cased_batch8-train,whisper-large-v2_batch8-inf,"(None, None)","(7.443241965033559, 9.82327639647888)","(None, None)","(14.22156267148963, 8.610636225698988)","(16.740727626803576, 7.85258487271951)","(20.19447423276662, 6.657477623926845)","(22.364395715742504, 5.719251388861896)","(25.124510807795772, 4.158151035753034)","(27.954832238651438, 2.2108721246588443)","(23.38450090650012, 6.739712940576016)"
bert-base-cased_batch8-train,bert-base-cased_batch16-inf,"(3.5263003232441963, 92.99177962222089)","(None, None)","(10.186483567848105, 71.04514834020165)","(None, None)","(15.816923653800265, 50.2068669066681)","(None, None)","(21.667926429831194, 30.062028672174606)","(24.885528999995945, 19.51961361860714)","(27.998054345127688, 9.735523826194227)","(10.747516295424013, 72.82022506936002)"
bert-base-cased_batch8-train,resnet-50_batch8-inf,"(None, None)","(None, None)","(11.57299068204059, 84.91457651762995)","(14.901625984710313, 82.60546695427702)","(17.533316836933082, 80.82765302238677)","(20.86622280183952, 78.44981025623804)","(22.91253580083719, 74.09051983887849)","(25.714044040939466, 67.6689551287622)","(28.552035208337895, 52.49910104279036)","(None, None)"
